07-31 14:34:58.629 [restartedMain] INFO  com.companionnuri.nuri.Nuri2Application - Starting Nuri2Application using Java 1.8.0_332 on kakao-entui-MacBookPro-4.local with PID 7242 (/Users/kakao_ent/project/companionnuri/WebProject/target/classes started by kakao_ent in /Users/kakao_ent/project/companionnuri/WebProject)
07-31 14:34:58.630 [restartedMain] INFO  com.companionnuri.nuri.Nuri2Application - No active profile set, falling back to 1 default profile: "default"
07-31 14:34:58.663 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
07-31 14:34:58.663 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
07-31 14:34:59.642 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
07-31 14:34:59.647 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
07-31 14:34:59.647 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
07-31 14:34:59.685 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
07-31 14:34:59.685 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1022 ms
07-31 14:35:00.391 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
07-31 14:35:00.586 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
07-31 14:35:00.704 [restartedMain] INFO  com.companionnuri.nuri.Nuri2Application - Started Nuri2Application in 2.396 seconds (JVM running for 2.949)
07-31 14:39:04.524 [restartedMain] INFO  com.companionnuri.nuri.Nuri2Application - Starting Nuri2Application using Java 1.8.0_332 on kakao-entui-MacBookPro-4.local with PID 7670 (/Users/kakao_ent/project/companionnuri/WebProject/target/classes started by kakao_ent in /Users/kakao_ent/project/companionnuri/WebProject)
07-31 14:39:04.525 [restartedMain] INFO  com.companionnuri.nuri.Nuri2Application - No active profile set, falling back to 1 default profile: "default"
07-31 14:39:04.573 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
07-31 14:39:04.574 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
07-31 14:39:05.950 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
07-31 14:39:05.958 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
07-31 14:39:05.958 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
07-31 14:39:06.024 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
07-31 14:39:06.025 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1451 ms
07-31 14:39:07.071 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
07-31 14:39:07.344 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
07-31 14:39:07.507 [restartedMain] INFO  com.companionnuri.nuri.Nuri2Application - Started Nuri2Application in 3.537 seconds (JVM running for 4.174)
07-31 14:39:11.742 [http-nio-8081-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
07-31 14:39:11.743 [http-nio-8081-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
07-31 14:39:11.744 [http-nio-8081-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
07-31 14:39:11.767 [http-nio-8081-exec-2] INFO  com.companionnuri.nuri.aop.LoggingAspect - [METHOD call] NuriInfoServiceImpl.getLocationCategory(..)
07-31 14:39:11.768 [http-nio-8081-exec-2] INFO  com.companionnuri.nuri.aop.LoggingAspect - [PARAMETERS] [4]
07-31 14:39:11.800 [http-nio-8081-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
07-31 14:39:12.390 [http-nio-8081-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
07-31 14:39:12.478 [http-nio-8081-exec-2] INFO  com.companionnuri.nuri.aop.LoggingAspect - [COMPLETED in] 711 ms
07-31 14:39:21.439 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
07-31 14:39:21.465 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
